A	B	M	ALU	'Id's	rw	uOp
01	xx	x	000000	000010	1	MAR<-PC
01	xx	1	000100	010110	1	MBR<-M, (PC,MAR)<-PC+1
01	xx	1	000100	010101	1	IR_OP<-MBR,MBR<-M,PC<-PC+1
11	xx	x	000000	001000	1	IR_Addr<-MBR

10	xx	x	000000	000010	1	MAR<-IR_Addr
xx	xx	1	000000	000100	1	MBR<-M
11	xx	x	000000	100000	1	AC<-MBR
00	xx	0	000000	000100	1	MBR<-AC
11	xx	x	000000	000000	0	M<-MBR
00	11	x	001000	100000	1	AC<-AC+MBR
00	11	x	010100	100000	1	AC<-AC-MBR
00	11	x	100000	100000	1	AC<-AC&MBR
00	11	x	101000	100000	1	AC<-AC|MBR
00	xx	x	111000	100000	1	AC<-~AC
00	xx	x	000010	100000	1	AC<-AC<<1
00	xx	x	000001	100000	1	AC<-AC>>1
11	xx	x	000000	010000	1	PC<-MBR
